,IC_mean,IC_std,ICIR,RankIC_mean,RankIC_std,RankICIR,IC_positive_ratio,abs_IC_mean
SUMD30,-0.0036402475,0.16639675,-0.021876913,-0.0031314426744005557,0.18477169831571286,-0.0169476306894883,0.502491103202847,0.12658934
SUMN30,0.0036078943,0.16635327,0.021688147,0.003124570932582183,0.18477065602640055,0.016910535637381617,0.49750889679715304,0.12658517
SUMP30,-0.0036583785,0.16636382,-0.021990227,-0.00313886174041138,0.18475511775072598,-0.016989307840193604,0.502491103202847,0.12653773
RESI20,-0.0010391962,0.16977663,-0.0061209607,-0.0030354071753643523,0.17965397495116414,-0.016895852191586375,0.502491103202847,0.12653077
RSV30,-0.0057839714,0.16342722,-0.035391722,-0.005120463847035322,0.1819271436909464,-0.0281456821763608,0.502491103202847,0.12583105
HIGH0,4.2449028e-05,0.16429436,0.00025837176,-0.0006826835370585999,0.16088933389195073,-0.004243186780083292,0.49608540925266903,0.12582861
RANK60,-0.003347107,0.16029121,-0.02088141,-0.002586409437679514,0.1815356112578652,-0.014247393540497528,0.504626334519573,0.12578781
QTLD10,0.0049028452,0.16605107,0.029526126,0.006655899994615157,0.18001198996134035,0.036974757216433285,0.496797153024911,0.124791026
RSV20,-0.005846989,0.15818997,-0.036961816,-0.00484877988692294,0.1766834714172964,-0.027443311893266042,0.501779359430605,0.123051554
SUMN10,0.0040834136,0.1573296,0.025954513,0.005026582925587608,0.1773205913503485,0.028347427694857236,0.498220640569395,0.12283092
SUMD10,-0.00416581,0.15726908,-0.026488421,-0.005066175664541965,0.17730407901091041,-0.028573371842711522,0.501067615658363,0.12282062
SUMP10,-0.004258745,0.15718131,-0.027094472,-0.005098964812541668,0.17729679174223698,-0.028759485576929922,0.500355871886121,0.12278514
IMXD60,0.002512612,0.15660301,0.016044466,0.0032098958625719678,0.1705568409672012,0.018820093384517542,0.5345195729537366,0.122632235
RESI5,0.0021742443,0.161909,0.013428803,0.0005125758304950158,0.16999851795995866,0.003015178052693183,0.4918149466192171,0.12161576
CNTD60,0.003683894,0.15293424,0.024088088,0.007877431599138396,0.16399187602073595,0.0480354960863267,0.5266903914590747,0.12157247
CNTN60,-0.004215037,0.15232338,-0.027671631,-0.007176593014012892,0.162742502824827,-0.04409783829341288,0.47686832740213525,0.1213227
MIN20,0.008124068,0.16028243,0.05068595,0.0106816972118716,0.1687470274642976,0.06330005772179298,0.5131672597864768,0.120804116
RESI10,-0.00046993906,0.16186039,-0.0029033602,-0.0010338288122584706,0.1728432747369107,-0.005981307366566707,0.4896797153024911,0.1207497
OPEN0,0.0018216604,0.15601508,0.01167618,0.0033685101829126138,0.15938305793654597,0.021134680280176902,0.5039145907473309,0.120497406
RANK30,-0.0062978086,0.15427409,-0.0408222,-0.006243069715145565,0.17575176318552366,-0.03552208664521056,0.505338078291815,0.120458335
MIN10,0.006663156,0.1625875,0.040981967,0.009293387753326091,0.16926978601190104,0.054902811796811585,0.501067615658363,0.12035418
CNTP60,0.0028366006,0.15108427,0.018774955,0.008212635221590488,0.16341288901479145,0.050256958117162555,0.5266903914590747,0.12033079
KMID,-0.0018697603,0.15557735,-0.012018203,-0.0033687528965755213,0.15938308492726824,-0.021136199533035763,0.496797153024911,0.120217204
QTLD5,0.004587682,0.15961449,0.028742263,0.004252520701714887,0.1738161038128636,0.024465629845419837,0.5060498220640569,0.11880567
